data_hora,medicamento,localizacao,farmacia,titulo,preco,preco_numero,categoria_preco,link,relevante,preco_maximo,alerta
2026-06-08 10:56:13,ibuprofeno,Zumbi Manaus,Drogasil,Buscofem Ibuprofeno 400mg 20 cápsulas,"R$ 42,99",42.99,medio,https://www.drogasil.com.br/buscofem-400mg-com-20-capsulas-gel-mole.html?origin=search,0.0,,
2026-06-08 10:56:59,omeprazol,Zumbi Manaus,Drogasil,Omeprazol 10mg 14 cápsulas Medley Genérico,"R$ 14,29",14.29,baixo,https://www.drogasil.com.br/omeprazol-10-mg-medley-generico-14-capsulas.html?origin=search,1.0,,
2026-06-08 10:56:59,omeprazol,Zumbi Manaus,Drogasil,Omeprazol 40mg 7 cápsulas Medley Genérico,"R$ 35,79",35.79,medio,https://www.drogasil.com.br/omeprazol-40-mg-medley-generico-7-capsulas.html?origin=search,0.0,,
2026-06-08 10:56:59,omeprazol,Zumbi Manaus,Drogasil,Uniprazol Omeprazol 20mg 28 cápsulas,"R$ 14,29",14.29,baixo,https://www.drogasil.com.br/uniprazol-20mg-28-capsulas.html?origin=search,1.0,,
2026-06-08 10:56:59,omeprazol,Zumbi Manaus,Drogasil,Omeprazol 20mg 56 cápsulas Cimed Genérico,"R$ 15,89",15.89,baixo,https://www.drogasil.com.br/omeprazol-20mg-cimed-genericos-56-capsulas.html?origin=search,1.0,,
2026-06-08 10:56:59,omeprazol,Zumbi Manaus,Drogasil,Omeprazol 20mg 56 cápsulas Teuto Genérico,"R$ 14,33",14.33,baixo,https://www.drogasil.com.br/omeprazol-20mg-teuto-generico-com-56-comprimidos.html?origin=search,1.0,,
2026-06-08 10:56:59,omeprazol,Zumbi Manaus,Drogasil,Omeprazol 20mg 28 cápsulas Cimed Genérico,"R$ 11,74",11.74,baixo,https://www.drogasil.com.br/omeprazol-20mg-cimed-genericos-28-capsulas.html?origin=search,1.0,,
2026-06-08 10:56:59,omeprazol,Zumbi Manaus,Drogasil,Omeprazol 20mg 42 cápsulas Medley Genérico,"R$ 40,59",40.59,medio,https://www.drogasil.com.br/omeprazol-20mg-medley-generico-42-capsulas.html?origin=search,0.0,,
2026-06-08 10:56:59,omeprazol,Zumbi Manaus,Drogasil,Omeprazol 20mg 28 cápsulas EMS Genérico,"R$ 17,99",17.99,baixo,https://www.drogasil.com.br/omeprazol-20mg-ems-generico-28-capsulas.html?origin=search,1.0,,
2026-06-08 10:56:59,omeprazol,Zumbi Manaus,Drogasil,Omeprazol 20mg 56 Cápsulas Globo Genérico,"R$ 19,79",19.79,baixo,https://www.drogasil.com.br/omeprazol-20mg-globo-genericos-56-comprimidos.html?origin=search,1.0,,
2026-06-08 10:56:59,omeprazol,Zumbi Manaus,Drogasil,Omeprazol 20mg 56 cápsulas União Química Genérico,"R$ 20,59",20.59,medio,https://www.drogasil.com.br/omeprazol-20mg-uniao-quimica-genericos-com-56-capsulas.html?origin=search,1.0,,
2026-06-08 10:57:36,losartana,Zumbi Manaus,Drogasil,Losartana Potássica 50mg 30 comprimidos Medley Genérico,"R$ 4,04",4.04,baixo,https://www.drogasil.com.br/losartana-potassica-50mg-medley-generico-com-30-comprimidos.html?origin=search,1.0,,
2026-06-08 10:57:36,losartana,Zumbi Manaus,Drogasil,Losartana Potássica 50mg 30 comprimidos Neo Química Genérico,"R$ 3,90",3.9,baixo,https://www.drogasil.com.br/losartana-potassica-neo-quimica-genericos-50-mg-30-comprimidos.html?origin=search,1.0,,
2026-06-08 10:57:36,losartana,Zumbi Manaus,Drogasil,Losartana Potássica 50mg 30 comprimidos Aché Genérico,"R$ 8,25",8.25,baixo,https://www.drogasil.com.br/losartana-potassica-50mg-biosintetica-generico-com-30-comprimidos-revestidos.html?origin=search,1.0,,
2026-06-08 10:57:36,losartana,Zumbi Manaus,Drogasil,Losartana Potássica 50mg 60 comprimidos Prati Donaduzzi Genérico,"R$ 11,69",11.69,baixo,https://www.drogasil.com.br/losartana-potassica-50mg-prati-generico-60-comprimidos-revestidos.html?origin=search,1.0,,
